,author,updated_at,like_count,text,public
44,@dap52,2025-03-30T18:58:51Z,0,di toko erafone offline ada gak?,True
45,@md_ent369,2025-03-30T16:52:54Z,0,Motorola start di harga yg salah...jelaas itu sekmen berbeda...ok spec pasti beda tp konsumen ga melihat itu..,True
46,@muhammadmuflih,2025-03-30T10:56:22Z,1,"Sekitar tahun 2013 atau 2014 saya lupa, pernah pake Moto G. Hari ini saya beli lagi Moto G45. Worth it dengan budget 2jt an.",True
47,@saas_29,2025-03-30T07:50:43Z,0,"Minus ketara nih hp mmang dri ips 720 × 1600 pixel dan seandainya diberi ips / amoled 1080 x 2400an harganya jadi 2 jutaan besar.

Saya bisa mengatakan begitu karena pernah membandingkan redmi note 9 dengan redmi note 10 untuk genshin jomplangnya jauh apalagi moto g45 menggunakan snap 6 gen 3.",True
48,@akmalinternasional3534,2025-03-30T03:37:03Z,1,Sekarang ada koneksi ke windows,True
49,@Laviola-w4m,2025-03-29T22:23:22Z,0,Motorola ♥️,True
50,@talktothemoney,2025-03-29T16:09:29Z,2,Charger nokia 5.3 juga warna hitam... Tgl 29maret2025 checkout Motorola G45 di tokped dapat harga idr 2.125k...,True
51,@Bibitnisa,2025-03-29T14:08:40Z,0,Jadi pengen beli,True
52,@Pretendtobedeadstar,2025-03-29T08:08:26Z,0,Wahhh beli sih.. maaf banget samsung skip dulu ganti motorola aja😊,True
53,@andikasyahputra846,2025-03-29T05:05:13Z,0,Hp nya ada iklannya kaya xiaomi ga ya?,True
54,@umatinmatin3331,2025-03-29T00:32:50Z,0,Video hasilnya parah bngt bagus bngt stabil 😭 berasa pke iPhone 11,True
55,@zhanuhasbyporba6903,2025-03-28T19:08:54Z,0,Bismillahirrahmanirrahim semoga ada rezekinya untuk bisa update dari Oppo a5 2020 - Motorola G⁴⁵ 5G Ini aamiin 🤗,True
56,@team_da,2025-03-28T18:00:38Z,0,Deal breaker buat gue: layar 720p 😭,True
57,@sheilanathania2601,2025-03-28T15:21:05Z,0,Biru oligarki,True
58,@aaa.mbn_,2025-03-28T14:16:37Z,0,Bulan april harus beli.  Bismillah,True
59,@ifanfrans4507,2025-03-28T02:07:03Z,0,Ini smart connect nya killer sih.. fix buat hape kerja di kantor,True
60,@btess8854,2025-03-27T19:27:30Z,2,Topi lu bagus pit,True
61,@rosamaghfiroh5658,2025-03-27T15:04:43Z,1,nonton ini pake moto g45 wkwk,True
62,@1wanmahesa,2025-03-27T08:05:36Z,0,"sekarang udah turun , harganya 2,2juta🏄",True
63,@Noland_48idol,2025-03-26T18:00:06Z,0,box nya gadgetin banget ya wkwk,True
64,@rimzzlabs,2025-03-26T17:55:50Z,2,OS nya pixel experience jir wkwk,True
65,@agungarianto9428,2025-03-26T14:23:35Z,0,"bang david. mau saran, mungkin bisa ditambahin di videonya gimana kalo videonya di story instagram sama foto di story instagram. apakah kualitasnya pecah pecah atau patah patah atau engga. thankyou",True
66,@ebit.jatayu,2025-03-26T10:20:53Z,1,"Ya udah beli, HP saya sudah mati ga bisa dicharge. Wkwkw",True
67,@davidochannel16,2025-03-26T05:53:21Z,0,"Udah pake seminggu lgs jual. Fitur bagus, kamera biasa aja. Video ya mayan stabil tp mnurut saya biasa aja. Yg plg mengganggu adl lemot, krg snap kalau mau masuk ke appikasi atau ke kamera, pindah2 mnurut sy agak lemot masih kalah sm hp lama pdhl antutunya di bawah Moto g45. Review jujur ya, kalau ada yg puas ya siplah turut happy utk Anda. 😊",True
68,@ikhwansuryaramadhan8123,2025-03-26T04:21:21Z,1,G ada warna item apa😭,True
69,@AprilBesari-jp7op,2025-03-26T04:16:09Z,0,kangen motorola,True
70,@billytetengean9811,2025-03-26T04:00:43Z,0,Gw genshin player kagak niat beli,True
